"name","logoUrl","available","quantityAvailable","rating","ratingCount","savings"
"Five Guys","https://s3.amazonaws.com/raise-content/ibi/FiveGuys-Logo.png",false,0,"3.1",450,"0.00"
"Fleming's (Physical)","https://raise-content.s3.amazonaws.com/MP-OPs/Flemings/Flemings-Logo.png",true,4,"2.9",305,"8.00"
"Fogo De Chao","https://raise-content.s3.amazonaws.com/MP-OPs/00_Raise/Fogo+De+Chao/RAISE_FogoDeChao-logo.png",true,167,"4.0",160,"10.50"
"Foot Locker","https://raise-content.s3.amazonaws.com/MP-OPs/Foot+Locker/FootLocker-Logo.png",false,0,"4.4",118,"0.00"
"Forever 21","https://raise-content.s3.amazonaws.com/MP-OPs/Forever+21/Forever21-Logo.png",true,1,"3.2",2216,"5.90"
"Francesca's","https://s3.amazonaws.com/assets.coupontrade.com/pay/static/media/brandPlaceholder.png",true,6,"3.2",156,"11.00"
"Free People","https://s3.amazonaws.com/raise-content/ibi/FreePeople-Logo.png",false,0,"3.0",201,"0.00"
"Fuddruckers","https://s3.amazonaws.com/raise-content/ibi/Fuddruckers-Logo.png",true,33,"2.5",117,"12.00"
"GameStop","https://raise-content.s3.amazonaws.com/MP-OPs/GameStop/GameStop-Logo.png",true,1215,"3.9",590,"7.06"
"GAP","https://raise-content.s3.amazonaws.com/MP-OPs/Gap-Logo.png",true,1348,"3.8",427,"14.50"
"Gilt","https://raise-content.s3.amazonaws.com/MP-OPs/00_Raise/Gilt/RAISE_Gilt-Logo.png",false,0,"3.1",241,"0.00"
"Glen Ivy Spa","https://s3.amazonaws.com/raise-content/ibi/GlenIvySpa-Logo.png",false,0,"2.9",114,"0.00"
"Global Hotel Card Powered by Expedia","https://raise-content.s3.amazonaws.com/MP-OPs/Global+Expedia/GlobalExpedia-Logo.png",true,12,"3.4",179,"6.00"
"Golden Corral","https://s3.amazonaws.com/raise-content/ibi/GoldenCorral-Logo.png",false,0,"3.0",204,"0.00"
"Google Play","https://raise-content.s3.amazonaws.com/MP-OPs/00_Raise/google+play/RAISE_GooglePlay-Logo.png",true,596,"3.3",594,"1.26"
"Gordmans","https://s3.amazonaws.com/raise-content/ibi/Gordmans-Logo.png",false,0,"1.5",1982,"0.00"
"Great Clips","https://s3.amazonaws.com/raise-content/ibi/GreatClips-Logo.png",false,0,"4.1",170,"0.00"
"Groupon","https://raise-content.s3.amazonaws.com/MP-OPs/Groupon-Logo.png",true,89,"3.1",440,"0.56"
"Guitar Center®","https://raise-content.s3.amazonaws.com/MP-OPs/Guitar+Center/GuitarCenter-Logo.png",true,2,"3.1",270,"4.99"
"Gymboree","https://s3.amazonaws.com/raise-content/ibi/Gymboree-Logo.png",true,16,"3.5",145,"4.96"
"H-E-B (Online Only)","https://raise-content.s3.amazonaws.com/MP-OPs/00_Raise/HEB/RAISE_HEB-Logo.png",false,0,"3.6",118,"0.00"
"H&M","https://raise-content.s3.amazonaws.com/MP-OPs/H-M-icon3.png",true,1297,"3.3",1464,"10.56"
"Hanna Andersson","https://s3.amazonaws.com/raise-content/ibi/HannaAndersson-Logo.png",false,0,"2.8",114,"0.00"
"Harbor Freight Tools","https://s3.amazonaws.com/raise-content/ibi/HarborFreightTools-Logo.png",false,0,"3.5",124,"0.00"
"Harris Teeter Grocery","https://s3.amazonaws.com/raise-content/ibi/HarrisTeeterGrocery-Logo.png",false,0,"3.0",111,"0.00"
"Hobby Lobby","https://s3.amazonaws.com/raise-content/ibi/HobbyLobby-Logo.png",true,3,"3.8",130,"5.40"
"Hollister","https://raise-content.s3.amazonaws.com/MP-OPs/Hollister/Hollister-Logo.png",true,32,"3.9",247,"8.00"
"HomeGoods","https://raise-content.s3.amazonaws.com/MP-OPs/HomeGoods-Logo.png",true,32,"3.5",687,"1.50"
"HoneyBaked®","https://s3.amazonaws.com/raise-content/ibi/HoneyBaked-Logo.png",true,25,"3.4",112,"15.50"
"Hotels.com","https://raise-content.s3.amazonaws.com/MP-OPs/00_Raise/Hotels/RAISE_Hotels-Logo.png",true,207,"3.0",1047,"1.65"
"HP","https://s3.amazonaws.com/raise-content/ibi/HP-Logo.png",false,0,"3.2",239,"0.00"
"Hyatt","https://raise-content.s3.amazonaws.com/MP-OPs/00_Raise/Hyatt/RAISE_Hyatt-Logo.png",false,1,"3.7",373,"0.00"
"IHOP®","https://raise-content.s3.amazonaws.com/MP-OPs/IHOP/IHOP-Logo.png",true,2246,"3.4",226,"17.00"
"Ikea (In Store Only)","https://s3.amazonaws.com/raise-content/ibi/IKEA-Logo.png",true,2,"3.1",167,"6.30"
"Ikea (Online Only)","https://s3.amazonaws.com/raise-content/ibi/IKEA-Logo.png",true,2169,"3.2",507,"7.10"
"iTunes","https://s3.amazonaws.com/raise-content/ibi/iTunes-Logo.png",false,0,"3.1",5625,"0.00"
"J Jill","https://s3.amazonaws.com/raise-content/ibi/JJill-Logo.png",false,0,"3.0",162,"0.00"
"J.Crew","https://raise-content.s3.amazonaws.com/MP-OPs/J.Crew/JCrew-Logo.png",true,17,"3.1",474,"0.46"
"Jack in the Box","https://s3.amazonaws.com/raise-content/ibi/JackInTheBox-Logo.png",false,0,"3.2",269,"0.00"
"JCPenney","https://raise-content.s3.amazonaws.com/MP-OPs/JCPenney/JCPenney-Logo.png",true,994,"3.8",1678,"6.60"
"Jersey Mike's Subs","https://raise-content.s3.amazonaws.com/MP-OPs/Jersey+Mike's/JerseyMikes-Logo.png",true,696,"3.0",119,"5.80"
"Jiffy Lube®","https://raise-content.s3.amazonaws.com/MP-OPs/Jiffy+Lube/JiffyLube-Logo.png",true,2463,"2.8",271,"21.00"
"Jimmy John's","https://s3.amazonaws.com/raise-content/ibi/JimmyJohns-Logo.png",false,0,"4.0",117,"0.00"
"Jo Ann Fabrics","https://raise-content.s3.amazonaws.com/MP-OPs/Joann-Logo.png",true,17,"3.5",162,"2.20"
"Jos. A. Bank","https://s3.amazonaws.com/raise-content/ibi/JosABank-Logo.png",true,44,"4.0",135,"4.07"
"Justice","https://s3.amazonaws.com/raise-content/ibi/Justice-Logo.png",false,0,"3.8",187,"0.00"
"Kate Spade","https://s3.amazonaws.com/raise-content/ibi/KateSpade-Logo.png",false,0,"3.3",159,"0.00"
"Kay Jewelers","https://s3.amazonaws.com/raise-content/ibi/KayJewelers-Logo.png",true,1,"3.2",217,"5.00"
"KFC","https://s3.amazonaws.com/raise-content/ibi/KFC-logo.png",false,0,"3.6",106,"0.00"
"Kmart","https://raise-content.s3.amazonaws.com/MP-OPs/00_Raise/KMart/RAISE_Kmart-Logo.png",false,0,"3.2",497,"0.00"
"Kohl's","https://raise-content.s3.amazonaws.com/MP-OPs/00_Raise/Kohls/RAISE_Kohls-Logo.png",true,1458,"4.0",1507,"4.10"
"Kohl's (In Store Only)","https://raise-content.s3.amazonaws.com/MP-OPs/00_Raise/Kohls/RAISE_Kohls-Logo.png",false,0,"3.0",112,"0.00"
"Kroger","https://raise-content.s3.amazonaws.com/MP-OPs/kroger-logo-taxon.png",true,221,"3.6",344,"1.20"
"L.L.Bean","https://raise-content.s3.amazonaws.com/MP-OPs/L.L.Bean/LLBean-Logo.png",true,615,"4.2",125,"13.68"
"Landry's","https://raise-content.s3.amazonaws.com/MP-OPs/Landry's/Landrys-Logo.png",true,101,"4.8",1434,"14.30"
"Lands' End","https://raise-content.s3.amazonaws.com/MP-OPs/Lands'+End/LandsEnd-Logo.png",true,23,"4.9",343,"4.00"
"Lane Bryant®","https://raise-content.s3.amazonaws.com/MP-OPs/00_Raise/Lane+Bryant/RAISE_LaneBryant-Logo.png",true,681,"3.2",272,"13.80"
"Lego","https://s3.amazonaws.com/raise-content/ibi/Lego-Logo.png",false,0,"3.3",271,"0.00"
"Levi's","https://s3.amazonaws.com/raise-content/ibi/Levis-Logo.png",true,14,"3.1",187,"17.90"
"Little Caesars Pizza","https://s3.amazonaws.com/raise-content/ibi/LittleCaesarsPizza-Logo.png",false,0,"2.9",104,"0.00"
"Loft","https://raise-content.s3.amazonaws.com/MP-OPs/00_Raise/Loft/RAISE_Loft-Logo.png",true,2,"3.6",166,"0.00"
"Loft (In Store Only)","https://raise-content.s3.amazonaws.com/MP-OPs/00_Raise/Loft/RAISE_Loft-Logo.png",true,1,"3.1",712,"0.00"
"Logan's Roadhouse","https://raise-content.s3.amazonaws.com/MP-OPs/Logan's+Roadhouse/LogansRoadhouse-Logo.png",true,258,"4.2",112,"19.76"
"Longhorn Steakhouse","https://raise-content.s3.amazonaws.com/MP-OPs/Longhorn+Steakhouse/LonghornSteakhouse-Logo.png",true,11,"4.5",490,"2.00"
"Louis Vuitton","https://s3.amazonaws.com/raise-content/ibi/LouisVuitton-Logo.png",false,0,"3.2",211,"0.00"
"Lowe's","https://raise-content.s3.amazonaws.com/MP-OPs/Lowes/Lowes-Logo.png",true,3123,"4.8",1745,"4.26"
"Lowe's (In Store Only)","https://raise-content.s3.amazonaws.com/MP-OPs/Lowes/Lowes-Logo.png",false,0,"3.5",3804,"0.00"
"Lululemon","https://raise-content.s3.amazonaws.com/MP-OPs/00_Raise/Lulu+Lemon/RAISE_Lululemon-logo.png",true,407,"3.1",804,"3.40"
"LUSH","https://s3.amazonaws.com/raise-content/ibi/Lush-Logo.png",false,0,"3.6",186,"0.00"
"Macaroni Grill","https://s3.amazonaws.com/raise-content/ibi/MacaroniGrill-Logo.png",true,394,"3.8",112,"22.26"
"Macy's","https://raise-content.s3.amazonaws.com/MP-OPs/Macy's/Macys-Logo.png",true,1108,"3.7",3049,"4.07"
"Madewell","https://s3.amazonaws.com/raise-content/ibi/Madewell-Logo.png",true,59,"3.2",246,"5.15"
"Marcus Theatres","https://s3.amazonaws.com/raise-content/ibi/MarcusTheatres-Logo.png",true,79,"3.3",175,"4.00"
"Marshalls","https://raise-content.s3.amazonaws.com/MP-OPs/Marshalls/Marshalls-Logo.png",true,28,"3.3",1510,"4.00"
"Massage Envy","https://s3.amazonaws.com/raise-content/ibi/MassageEnvy-Logo.png",true,17,"3.6",396,"16.00"
"McAlister's Deli","https://raise-content.s3.amazonaws.com/MP-OPs/McAlisters+Deli/McAlisters-Logo.png",true,12,"1.8",104,"3.50"
"McCormick & Schmick's","https://raise-content.s3.amazonaws.com/MP-OPs/McCormick+Schmick/McCormick%26Schmicks-Logo.png",true,52,"2.8",158,"14.28"
"McDonald's","https://s3.amazonaws.com/raise-content/ibi/McDonalds-Logo.png",false,0,"3.5",1266,"0.00"
"Meijer Grocery","https://s3.amazonaws.com/raise-content/ibi/Meijer-Logo.png",false,0,"3.8",195,"0.00"
"Men's Wearhouse","https://s3.amazonaws.com/raise-content/ibi/MensWarehouse-Logo.png",true,11,"3.7",161,"3.87"
"Menards","https://raise-content.s3.amazonaws.com/MP-OPs/00_Raise/Menards/RAISE_Menards-Logo.png",false,0,"4.0",165,"0.00"
"Michael Kors","https://s3.amazonaws.com/raise-content/ibi/MichaelKors-Logo.png",false,0,"3.0",223,"0.00"
"Michaels","https://raise-content.s3.amazonaws.com/MP-OPs/Michaels/Michaels-Logo.png",true,260,"3.2",1068,"5.46"
"Michaels (Online Only)","https://raise-content.s3.amazonaws.com/MP-OPs/Michaels/Michaels-Logo.png",false,0,"2.9",245,"0.00"
